Study_Location,Site / Sampling_Area,Species_Name,Habitat_Type,MP_Presence,MP_Count (items/individual),MP_Type,MP_Structure,MP_Color,Polymer_Type,Source_Suspected,Dominant_Risk_Type,Author
"Northern Laguna Lake, Philippines",Combined mean (Northern shoreline),,Freshwater lake sediment,Yes,208 ± 20 (mean),"Fiber (63%), Fragment (27%), Film (10%)","Filament, Irregular","Blue (47%), Transparent (21%), Red (11%), Black (8%), Green (5%)","PP (38%), PE (32%), PET (20%), PES (10%)","Household and industrial waste, fishing activities, runoff","Ecological, Human health, Food web",N/A (2023)
"Manila Bay, Philippines",Navotas Fish Port Complex,Sardinella lemuru (Bali Sardinella),Marine (pelagic fish),Yes,5.3 ± 2.7 items/individual,"Fiber, Fragment","Filament, Irregular","Blue (dominant), Transparent, Red","Polypropylene (PP), Polyethylene (PE)","Fishing gear, packaging, textile fibers","Food safety, Human health",Sarmiento et al. (2023)
"Manila Bay, Philippines",Navotas Fish Port Complex,Decapterus russelli (Indian Scad),Marine (pelagic fish),Yes,4.1 ± 1.8 items/individual,"Fiber, Fragment","Filament, Irregular","Blue, Black","PP, PE",Domestic and industrial runoff,"Food safety, Bioaccumulation",Sarmiento et al. (2023)
"Manila Bay, Philippines",Navotas Fish Port Complex,Rastrelliger kanagurta (Indian Mackerel),Marine (pelagic fish),Yes,3.5 ± 1.3 items/individual,"Fiber, Fragment, Film",Filament,"Blue, Transparent","PP, PE, PET","Fishing nets, packaging waste","Food web, Human health",Sarmiento et al. (2023)
"Manila Bay, Philippines",Navotas Fish Port Complex,Leiognathus equulus (Slipmouth),Marine (demersal fish),Yes,6.8 ± 3.1 items/individual,"Fiber, Fragment","Filament, Irregular","Blue, Transparent","PP, PE","Sewage discharge, textile waste","Bioaccumulation, Human health",Sarmiento et al. (2023)
"Manila Bay, Philippines",Navotas Fish Port Complex,Siganus canaliculatus (Rabbitfish),Marine (benthic fish),Yes,7.5 ± 2.9 items/individual,"Fiber (dominant), Fragment",Filament,"Blue (dominant), Transparent","PP, PE, PET","Aquaculture lines, household waste","Food safety, Human health",Sarmiento et al. (2023)
"Manila Bay, Philippines",Navotas Fish Port Complex,Gerres filamentosus (Whipfin Silver-biddy),Marine (benthic fish),Yes,4.2 ± 1.9 items/individual,"Fiber, Fragment","Filament, Irregular","Blue, Transparent","PP, PE","Urban runoff, fishing activity","Ecological, Food web",Sarmiento et al. (2023)
"Manila Bay, Philippines",Navotas Fish Port Complex,Nemipterus japonicus (Japanese Threadfin Bream),Marine (demersal fish),Yes,5.6 ± 2.1 items/individual,"Fiber, Fragment","Filament, Irregular","Blue, Transparent","PP, PE, PET","Marine litter, packaging, textiles","Ecological, Human health",Sarmiento et al. (2023)
"Manila Bay, Philippines",Overall (all 7 species),Mixed fish species,Marine,Yes,5.3 ± 2.3 items/individual (mean),"Fiber (78%), Fragment (19%), Film (3%)","Filament, Irregular","Blue (63%), Transparent (18%), Black (10%), Red (6%), Green (3%)","PP (41%), PE (33%), PET (15%), Nylon (6%), PVC (5%)","Fishing gear, packaging materials, textiles","Food safety, Bioaccumulation, Human health",Sarmiento et al. (2023)
"Batangas Bay, Philippines",Station 1 (near Batangas Port),,Marine (coastal sediment),Yes,125 ± 16,"Fiber (dominant), Fragment, Film","Filament, Irregular","Blue, Transparent, Red","Polypropylene (PP), Polyethylene (PE)","Port activity, shipping, domestic waste","Ecological, Water quality",Aquino et al. (2022)
"Batangas Bay, Philippines",Station 2 (Alangilan Coastline),,Marine (shore sediment),Yes,88 ± 12,"Fiber, Fragment","Filament, Irregular","Blue, Transparent","PP, PE","Urban runoff, domestic sources",Ecological,Aquino et al. (2022)
"Batangas Bay, Philippines",Station 3 (Sta. Clara area),,Marine (coastal sediment),Yes,97 ± 14,"Fiber, Fragment, Film",Filament,"Blue, Transparent","PP, PET","Urban wastewater, packaging","Ecological, Bioavailability",Aquino et al. (2022)
"Batangas Bay, Philippines",Station 4 (Near industrial discharge),,Marine (industrial coastal),Yes,142 ± 20,"Fiber (dominant), Fragment","Filament, Irregular","Blue, Black, Transparent","PP, PE, PET","Industrial waste, fishing gear","Ecological, Human health",Aquino et al. (2022)
"Batangas Bay, Philippines",Station 5 (Mabacong coast),,Marine (shore sediment),Yes,110 ± 15,"Fiber, Fragment, Film",Filament,"Blue, Transparent","PP, PE","Marine litter, sewage discharge",Ecological,Aquino et al. (2022)
"Batangas Bay, Philippines",Station 6 (Balagtas coastal area),,Marine (coastal sediment),Yes,95 ± 10,"Fiber, Fragment",Filament,"Blue, Transparent, Red","PP, PE","Domestic waste, aquaculture","Ecological, Bioaccumulation",Aquino et al. (2022)
"Batangas Bay, Philippines",Station 7 (Batangas Pier zone),,Marine (harbor sediment),Yes,138 ± 18,"Fiber (dominant), Fragment",Filament,"Blue (dominant), Transparent, Red","PP, PE, PET",Port and maritime activities,"Ecological, Food web",Aquino et al. (2022)
"Batangas Bay, Philippines",Overall mean (7 stations),,Marine (coastal sediment),Yes,113 ± 15 (mean),"Fiber (61%), Fragment (29%), Film (10%)","Filament, Irregular","Blue (49%), Transparent (28%), Red (12%), Black (6%), Green (5%)","PP (45%), PE (32%), PET (18%), Others (5%)","Port and industrial activities, fishing gear, domestic sources","Ecological, Food safety, Human health",Aquino et al. (2022)
"Oslob, Cebu, Philippines",Tan-awan Whale Shark Interaction Area,Whale shark (Rhincodon typus),"Marine (surface, nearshore)",Yes,"2.8 MP/g scat (mean, range 0–50)","Fragment (97%), Fiber bundles (3%)",Irregular,"Transparent (54.8%), Blue (17.9%), White (14.5%), Green, Yellow, Gray, Black, Silver, Orange","PP (59.2%), PE (33.5%), Polyester (4.5%), PS (2.2%), Nitrile rubber (0.6%)","Tourism activity, coastal waste leakage, provisioned feed","Ecological, Bioaccumulation, Food web",Yong et al. (2021)
"Oslob, Cebu, Philippines",Surface water – Interaction Area (0–1 m depth),,Marine (surface water),Yes,5.83 MP/m³,"Fragment (81%), Fiber bundle (19%)",Irregular,"Transparent, Grey, White, Black, Beige","PP (52.4%), PE (23.8%), Polyester (19.0%), Polyamide (4.8%)","Coastal waste, boat activity, tourism","Ecological, Exposure risk to filter feeders",Yong et al. (2021)
"Oslob, Cebu, Philippines",Surface water – North of Interaction Area,,Marine (surface water),Yes,14 MP/0.9 m³,"Fragment, Fiber bundle",Irregular,"Transparent, Grey, White","PP, PE, Polyester, Polyamide","Coastal runoff, tourism waste",Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",Surface water – South of Interaction Area,,Marine (surface water),Yes,5 MP/0.9 m³,"Fragment, Fiber bundle",Irregular,"Transparent, White","PP, PE, Polyester","Waste leakage, tourism activity",Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2012 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,5.71 ± 9.43 MP/g,Fragment,Irregular,,"PP, PE",Environmental exposure,Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2013 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,1.82 ± 3.29 MP/g,Fragment,Irregular,,"PP, PE",Environmental exposure,Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2014 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,3.23 ± 5.09 MP/g,Fragment,Irregular,,"PP, PE",Environmental exposure,Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2015 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,4.06 ± 7.82 MP/g,Fragment,Irregular,,"PP, PE",Environmental exposure,Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2016 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,0.25 ± 0.62 MP/g,Fragment,Irregular,,"PP, PE",Environmental exposure,Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2017 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,0.29 ± 0.49 MP/g,Fragment,Irregular,,"PP, PE",Environmental exposure,Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2018 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,1.30 ± 1.34 MP/g,Fragment,Irregular,,"PP, PE",Environmental exposure,Ecological,Yong et al. (2021)
"Oslob, Cebu, Philippines",2019 (Whale shark scat),Whale shark (Rhincodon typus),Marine,Yes,3.20 ± 3.61 MP/g,Fragment,Irregular,,"PP, PE, Polyester","Environmental exposure, provisioning feed","Ecological, Food web",Yong et al. (2021)
"Los Baños, Laguna (Market)","Bacoor, Cavite (origin)",Perna viridis (Asian green mussel),"Marine (coastal, aquaculture)",Yes,0.52 ± 0.13 MP/g FW; 2.67 ± 0.66 MP/individual,"Fiber (dominant), Fragment","Filament, Irregular","Black, Blue, Red, Brown, Transparent, Faint Pink","PP/EVA, LDPE/EVA, PP","Fishing gear, aquaculture ropes, domestic waste","Food safety, Human health",Bolaños & Hizon-Fradejas (2025)
"Los Baños, Laguna (Market)","Lucena, Quezon (origin)",Venerupis philippinarum (Manila clam),"Marine (coastal, benthic)",Yes,0.57 ± 0.16 MP/g FW; 2.03 ± 0.59 MP/individual,"Fiber (dominant), Fragment","Filament, Irregular","Black, Red, Gray, Transparent","PP/PETE, LDPE/EVA","Aquaculture materials, wastewater runoff",Food safety,Bolaños & Hizon-Fradejas (2025)
"Lipa, Batangas (Market)","Bacoor, Cavite (origin)","Corbicula manilensis (“Tulya”, freshwater clam)",Freshwater (riverine),Yes,2.94 ± 0.65 MP/g FW; 1.50 ± 0.34 MP/individual,"Fiber (dominant), Fragment","Filament, Irregular","Black, Gray, Red, Pink, Transparent","LDPE/EVA, PP/Nitrile, PU","Urban wastewater, domestic discharge, market handling","Food safety, Ecological",Bolaños & Hizon-Fradejas (2025)
"Bacoor, Cavite (origin of Perna viridis and Corbicula manilensis)",Aquaculture source area,,Marine / Estuarine,Yes,,Fiber (dominant),Filament,"Black, Blue","PP/EVA, LDPE/EVA","Aquaculture equipment, fishing ropes, plastic debris",Ecological,Bolaños & Hizon-Fradejas (2025)
"Lucena, Quezon (origin of Venerupis philippinarum)",Fishing port area,,Marine (coastal),Yes,,"Fiber, Fragment",Filament,"Red, Transparent","LDPE/EVA, PP/PETE","Fishing activities, industrial sources",Ecological,Bolaños & Hizon-Fradejas (2025)
"Los Baños, Laguna",Commercial market,Mixed bivalve samples,Marine (sold seafood),Yes,0.52–2.94 MP/g FW (range),"Fiber, Fragment","Filament, Irregular","Black (dominant), Blue, Red, Pink, Transparent","LDPE/EVA, PP/EVA, PP/PETE, PP/Nitrile, PU","Market handling, aquaculture, consumer waste","Food safety, Human exposure",Bolaños & Hizon-Fradejas (2025)
"Lipa, Batangas",Commercial market,Mixed bivalve samples,Freshwater / Marine trade,Yes,1.50–2.67 MP/individual,"Fiber, Fragment",Filament,"Black, Gray","LDPE/EVA, PP/Nitrile","Market waste, fishing sources",Food safety,Bolaños & Hizon-Fradejas (2025)
"Butuan Bay, Southern Philippines",Barangay Masao (BCMS),,Mangrove (Surface Water),Yes,116.67 ± 106.07 MPs/m³,"Film, Fragment, Fiber, Filament","Irregular, Secondary","Blue, Transparent","PP, LDPE, PET, HDPE, EVA, PVC, GPPS, NY6, NY66, PMMA","Household & commercial waste, sachet packaging, PPE (masks)","Slightly polluted (Hazard Level I), Medium ecological risk",Keleste et al. (2025)
"Butuan Bay, Southern Philippines",Barangay Matabao (BMS),,Mangrove (Surface Water),Yes,322.22 ± 103.41 MPs/m³,"Film, Fragment, Fiber, Filament","Irregular, Secondary","Blue, Transparent","PP, LDPE, PET, HDPE","Tourism litter, fishing gear, packaging waste","Extreme danger (Hazard Level V), Very high risk",Keleste et al. (2025)
"Butuan Bay, Southern Philippines",Barangay Ata-atahon (NMS),,Mangrove (Surface Water),Yes,250 ± 114.56 MPs/m³,"Film, Fragment, Fiber, Filament","Irregular, Secondary","Blue, Transparent","PP, LDPE, PET, HDPE","Household waste, industrial discharge","Danger Level IV, High ecological risk",Keleste et al. (2025)
"Butuan Bay, Southern Philippines",Barangay Masao (BCMS),,Mangrove (Sediment),Yes,25.93 ± 20.93 MPs/kg,"Film (39.6%), Fragment (36.5%), Fiber (10.4%)",Irregular,"Blue, Transparent, White","PP, LDPE, PET, HDPE, PVC",Settled debris from nearby settlements,Medium danger (Level II),Keleste et al. (2025)
"Butuan Bay, Southern Philippines",Barangay Matabao (BMS),,Mangrove (Sediment),Yes,88.89 ± 50.33 MPs/kg,"Film, Fragment",Irregular,"Blue, Transparent, White","PP, LDPE, PET, HDPE","Tourism, fishing, sachet waste",Slightly polluted (Level I),Keleste et al. (2025)
"Butuan Bay, Southern Philippines",Barangay Ata-atahon (NMS),,Mangrove (Sediment),Yes,55.56 ± 30.91 MPs/kg,"Film, Fragment",Irregular,"Blue, Transparent, White","PP, LDPE, PET, HDPE",Residential and commercial litter,Slightly polluted (Level I),Keleste et al. (2025)
"Butuan Bay, Southern Philippines",Overall (all sites – surface water),,Mangrove,Yes,229.63 ± 108.68 MPs/m³ (mean),"Film (39%), Fragment (36%), Fiber (17%), Filament (8%)","Irregular, Secondary","Blue (25%), Transparent (24%), White (18%), Black (15%)","PP (31.5%), LDPE, PET, HDPE, PVC","Mixed anthropogenic sources (tourism, packaging, domestic waste)",Moderate to extreme ecological risk,Keleste et al. (2025)
"Butuan Bay, Southern Philippines",Overall (all sites – sediment),,Mangrove,Yes,56.79 ± 34.06 MPs/kg (mean),"Film (39.6%), Fragment (36.5%), Fiber (10.4%)",Irregular,"Blue, Transparent, White","PP (51.7%), LDPE, PET, HDPE, PVC","Settled waste, nearshore accumulation",Moderate ecological risk,Keleste et al. (2025)
"Butuan Bay, Philippines","Cabadbaran (Transect 1: 9°4′19″N, 125°32′29″E)",,Mangrove (Sediment),Yes,60.0 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, White, Brown, Black, Gray, Red","PP, EVA, PET, HDPE, LDPE, PA","Domestic litter, fishing gear, packaging debris",Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Cabadbaran (Transect 2: 8°4′20″N, 125°32′26″E)",,Mangrove (Sediment),Yes,33.3 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, White, Brown","PP, EVA, PET, HDPE, LDPE, PA","Household waste, fishing activity",Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Cabadbaran (Transect 3: 8°4′23″N, 125°32′24″E)",,Mangrove (Sediment),Yes,26.7 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, White","PP, EVA, PET, HDPE, LDPE, PA",Land-based waste transport,Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Buenavista (Transect 1: 8°58′16″N, 125°26′37″E)",,Mangrove (Sediment),Yes,66.7 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, White","PP, EVA, PET, HDPE, LDPE, PA","Marine litter, local community waste",Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Buenavista (Transect 2: 8°58′13″N, 126°26′41″E)",,Mangrove (Sediment),Yes,60.0 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, Brown","PP, EVA, PET, HDPE, LDPE, PA",Riverine and urban runoff,Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Buenavista (Transect 3: 8°58′16″N, 125°26′37″E)",,Mangrove (Sediment),Yes,20.0 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PP, EVA, PET, HDPE, LDPE, PA",Land-based waste transport,Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Nasipit (Transect 1: 8°58′19″N, 125°20′12″E)",,Mangrove (Sediment),Yes,66.7 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, White","PP, EVA, PET, HDPE, LDPE, PA","Fishing port, industrial and household waste",Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Nasipit (Transect 2: 8°58′20″N, 125°20′11″E)",,Mangrove (Sediment),Yes,60.0 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PP, EVA, PET, HDPE, LDPE, PA","Domestic, commercial litter",Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines","Nasipit (Transect 3: 8°58′26″N, 125°20′08″E)",,Mangrove (Sediment),Yes,86.7 MPs/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, White","PP, EVA, PET, HDPE, LDPE, PA",Settled plastic debris from nearby communities,Ecological,Navarro et al. (2022)
"Butuan Bay, Philippines",Overall (Mean of 3 Sites),,Mangrove (Sediment),Yes,53.3 MPs/kg (average),"Fiber (71%), Fragment (19%), Film (10%)",Irregular,"Blue (35%), Transparent (24%), White (22%), Brown (13%), Black (4%), Gray (1%), Red (1%)","PP (39%), EVA (22%), PET (13%), HDPE (11%), LDPE (11%), PA (4%)","Household, fishery, and packaging waste",Ecological (baseline risk),Navarro et al. (2022)
"Agus River, Mindanao, Philippines",Pantar Bridge (Upstream),,River (Surface Water),Yes,32 pcs (0.53 MPs/m³),"Filament, Film, Fragment, Fiber",Irregular,"Brown (62.5%), Black (15.6%), Blue (6.3%), White (3.1%), Gray (3.1%), Red (3.1%)","Bemberg, Tencel, PE, PP, PA, Poly(Diallyl Phthalate)","Household and industrial litter, foam packaging, tire wear",Ecological,Segovia et al. (2025)
"Agus River, Mindanao, Philippines",Balo-i–Matunggao Bridge (Midstream),,River (Surface Water),Yes,25 pcs (0.42 MPs/m³),"Filament, Film, Fiber, Fragment",Irregular,"Brown (36%), Black (24%), White (20%), Gray (8%), Green (8%), Blue (4%)","Tencel (10), PP (4), PE (4), Polyurethane, Polyacrylamide (non-ionic), PA, PET, Bemberg, Cellophane, HDPE (1 each)","Urban and domestic runoff, agricultural waste",Ecological,Segovia et al. (2025)
"Agus River, Mindanao, Philippines",Agus Bridge (Downstream),,River (Surface Water),Yes,27 pcs (0.45 MPs/m³),"Fiber, Filament, Fragment, Granule",Irregular,"White (40.7%), Black (37%), Brown (14.8%), Blue (7.4%)","PET (5), PA (4), Bemberg (3), Tencel (3), PP (3), Epoxy Resin (2), Polyester (2), Ramie, HDPE, Polyurethane, Polyvinyl Stearate, Phenoxy Resin (1 each)","Urban discharge, sewage effluent, packaging, fishing gear",Ecological,Segovia et al. (2025)
